Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
198,0.1212,0.05025,120,7
199,0.1559,0.05413,157,11
200,0.12559,0.05416,143,12
201,0.1216,0.05351,143,16
202,0.15357,0.05277,204,10
203,0.12425,0.05369,145,14
204,0.16156,0.05456,265,16
205,0.25456,0.06743,225,14
206,0.16844,0.06023,216,5
207,0.22053,0.07703,259,16
208,0.17805,0.07576,232,24
209,0.20534,0.06961,211,6
210,0.18976,0.07498,325,11
211,0.1946,0.07136,373,23
212,0.62159,0.0905,251,28
213,0.16934,0.06973,389,43
214,0.14919,0.05847,292,14
215,0.1835,0.07254,367,29
216,0.20426,0.26743,375,47
217,0.18278,0.05642,382,14
218,0.19753,0.05193,407,25
219,0.15951,0.04987,440,11
220,0.18003,0.04945,405,16
221,0.15493,0.05287,413,32
222,0.15388,0.05027,410,16
223,0.1998,0.05887,476,31
224,0.17091,0.0575,560,47
225,0.16499,0.05018,507,27
226,0.17476,0.05043,394,10
227,0.19861,0.06241,796,46
228,0.3458,0.08775,678,39
229,0.2642,0.07026,888,23
230,0.23126,0.17728,892,63
231,0.24881,0.06005,819,15
232,0.2012,0.0704,782,41
233,0.24047,0.20445,911,42
234,0.4854,0.17056,856,71
235,0.64558,0.22449,935,86
236,0.45494,0.09411,1430,32
237,0.36966,0.08316,1242,48
238,0.29982,0.0803,1213,60
239,0.39673,0.07197,1703,20
240,0.2189,0.07904,937,30
241,0.34254,0.10257,1761,119
242,0.45249,0.09563,2886,82
243,0.29046,0.11173,1340,217
244,0.31636,0.12934,1521,26
245,0.48106,0.6469,1285,170
246,0.45159,0.20674,1904,110
247,0.35383,0.92831,1611,62
248,0.47861,0.24251,2105,194
249,0.60027,0.20746,2489,76
250,0.4341,0.19086,1669,55
251,1.9312,0.24893,2371,285
252,0.47827,0.12013,2533,57
253,0.48516,0.11756,3045,39
254,0.37525,0.1954,2187,448
255,1.25457,0.14379,9337,200
256,0.91824,0.12064,6778,84
257,1.17349,0.34303,8609,1538
258,1.41155,0.3613,10846,125
259,2.21694,0.15016,15253,94
260,1.3586,0.31053,9897,1259
261,1.53231,0.14144,11898,159
262,1.96284,0.13427,15546,157
263,1.6394,0.13323,12405,139
264,1.56746,0.56341,10739,1066
265,1.94939,0.62174,11796,1558
266,1.37867,0.25008,10420,184
267,1.17578,0.17366,8404,94
268,1.76099,0.16859,13705,66
269,2.399,0.19383,18827,108
270,2.16901,0.50846,17817,1757
271,1.22167,0.20073,10558,391
272,2.26522,0.12806,13515,149
273,2.04172,0.13057,18366,305
274,1.35641,0.10728,11910,56
275,2.12381,0.20975,18867,953
276,2.40612,0.15643,21781,414
277,1.53431,0.23277,13364,1294
278,2.15566,0.11597,19459,220
279,3.29793,0.22617,30270,1112
280,2.23487,0.18844,19967,927
281,2.64853,0.10587,24136,180
282,1.77447,0.32378,15633,2084
283,1.48724,0.13733,13144,570
284,2.13961,0.20867,19314,1252
285,1.68996,0.21202,14853,1196
286,1.93798,0.24576,17365,1566
287,1.4481,0.2477,12598,1564
288,1.9401,0.12226,17398,457
289,1.43701,0.17923,12664,932
290,1.14724,0.10799,9716,178
291,1.59785,0.29211,14209,2104
292,1.63844,0.23723,14394,1542
293,1.34372,0.1965,11808,1195
294,1.01876,0.10228,8744,241
295,1.25482,0.22087,10775,1389
296,0.69325,0.20439,5639,1258
297,1.03509,0.1748,8882,1021
298,1.25626,0.14827,10754,784
299,1.27165,0.18433,11127,1094
300,0.95218,0.25492,7928,1807
301,0.72143,0.14238,5914,777
302,0.97625,0.151,8310,815
303,0.63565,0.14157,4899,661
304,0.57681,0.32832,4304,2556
305,1.53333,0.51477,10929,4345
306,1.22547,0.36429,10702,2851
307,0.88071,0.14504,7442,797
308,0.32802,0.1769,2010,1127
309,0.40852,0.07072,2977,85
310,0.50798,0.07008,3713,105
311,0.48973,0.30978,3736,2429
312,0.7008,0.2876,5732,2100
313,0.70571,0.19249,5526,1310
314,0.54338,0.0708,4229,113
315,0.39519,0.11606,2832,485
316,0.43569,0.1064,3025,390
317,0.34886,0.13005,2404,733
318,0.46072,0.21153,3269,1517
319,0.35722,0.1516,2504,886
320,0.43643,0.36664,3222,2991
321,0.78922,0.2033,6372,1423
322,0.53286,0.10088,4153,469
323,1.04708,0.34044,8774,2700
324,0.81657,0.11685,6814,484
325,0.9258,0.31961,7871,2575
326,0.67036,0.2464,5213,1788
327,1.05139,0.2701,9002,2032
328,1.45979,0.29769,12725,2398
329,0.4487,0.0906,3350,320
330,1.29061,0.24916,11299,1884
331,0.80268,0.20473,6450,1412
332,0.76172,0.1991,6269,1369
333,0.97555,0.14061,8084,800
334,1.33166,0.30716,11707,2446
335,0.73265,0.11281,6007,504
336,0.58282,0.37286,4394,3037
337,0.56541,0.09517,4427,329
338,0.58715,0.07197,4630,170
339,0.58408,0.54334,4410,4770
340,0.92518,0.28857,7831,2235
341,0.62713,0.37299,4754,3088
342,0.6916,0.09707,5633,406
343,1.05675,0.06668,9052,121
344,1.12278,0.27637,9463,2161
345,1.21216,0.21193,10503,1429
346,0.7495,0.23224,5956,1722
347,1.17713,0.13793,10181,760
348,0.68537,0.13831,5543,793
349,0.91936,0.16039,7545,1017
350,0.76635,0.23905,6320,1747
351,1.00833,0.32653,8386,2622
352,0.69397,0.34282,5614,2633
353,0.61127,0.28846,4760,2238
354,0.87705,0.39716,7069,3310
355,0.97159,0.27491,8212,2125
356,1.19589,0.30621,10074,2426
357,0.48674,0.41237,3595,3514
358,0.52841,0.2655,3975,2023
359,0.48701,0.51441,3290,4456
360,0.2904,0.16274,1700,970
361,0.54059,0.20907,3865,1488
362,0.45724,0.25801,2977,1965
363,0.39646,0.49471,2619,4213
364,0.9947,0.36211,7553,2978
365,0.95724,0.36944,7410,3033
366,0.65786,0.27268,4850,2116
367,0.65542,0.318,4618,2662
368,0.47911,0.28561,3307,2217
369,0.37448,0.12636,2218,606
370,0.3992,0.14605,2645,922
371,0.36682,0.10455,2379,457
372,0.408,0.19614,2539,1347
373,0.41583,0.3616,2806,2994
374,0.54278,0.29316,3692,2257
375,0.6337,0.51222,3602,2755
376,0.97178,0.19303,3009,768
377,0.79715,0.35846,4869,2901
378,0.51654,0.25188,3689,1911
379,0.67241,0.15949,5045,981
380,0.66811,0.35118,4768,2812
381,0.87037,0.13179,6744,694
382,1.80592,0.4894,14547,4140
383,2.84063,0.25103,23626,1795
384,4.77662,0.10266,40180,378
385,5.22381,0.31132,43830,2303
386,3.59033,0.15061,30142,872
387,5.61584,0.37747,45301,2801
388,3.05956,0.23639,25564,1683
389,4.41756,0.20768,37704,1374
390,2.72763,0.45955,23235,3754
391,3.09198,0.23889,26733,1651
392,2.70396,0.28162,23818,1985
393,2.69503,0.24117,23676,1609
394,2.99523,0.26195,26998,1867
395,4.43143,0.32935,40304,2538
396,6.40876,0.24886,59529,1728
397,11.3235,0.18508,106027,1198
398,81.7111,0.55726,770141,4725
399,293.823,0.43314,2748461,1460
