Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
198,0.13303,0.0491,115,22
199,0.15227,0.05084,106,26
200,0.13962,0.05275,129,25
201,0.12967,0.04721,119,18
202,0.14812,0.05053,113,23
203,0.13686,0.04863,133,17
204,0.14551,0.04516,104,14
205,0.12921,0.05422,95,27
206,0.14182,0.05072,145,24
207,0.14894,0.04799,114,15
208,0.13434,0.04916,131,22
209,0.15235,0.05421,121,29
210,0.14587,0.05639,149,31
211,0.13563,0.05542,123,32
212,0.14507,0.0575,91,37
213,0.14634,0.05354,149,21
214,0.15799,0.05715,141,37
215,0.13107,0.05984,114,33
216,0.1414,0.05437,164,31
217,0.15808,0.0512,138,27
218,0.14409,0.04766,137,16
219,0.14835,0.04656,178,16
220,0.15919,0.05549,137,31
221,0.13658,0.04968,128,21
222,0.15337,0.0615,126,42
223,0.13672,0.05178,130,25
224,0.14101,0.04537,145,16
225,0.15153,0.05599,122,32
226,0.1416,0.05134,145,24
227,0.15922,0.05298,161,23
228,0.1406,0.05831,155,35
229,0.14015,0.06033,161,41
230,0.1679,0.05912,176,37
231,0.14517,0.05942,183,40
232,0.15786,0.05311,167,23
233,0.15333,0.05619,205,34
234,0.13867,0.05116,151,23
235,0.15805,0.05858,142,38
236,0.15162,0.06002,193,35
237,0.15742,0.05063,141,21
238,0.14263,0.0547,174,28
239,0.14283,0.04704,172,15
240,0.1663,0.04754,165,17
241,0.14492,0.05248,169,25
242,0.14767,0.0574,212,36
243,0.16583,0.06071,202,41
244,0.14384,0.05673,169,35
245,0.16968,0.06498,193,47
246,0.14718,0.05453,171,32
247,0.14739,0.0513,203,24
248,0.16869,0.05887,221,48
249,0.14722,0.05372,199,23
250,0.16891,0.05959,207,36
251,0.14455,0.06086,176,39
252,0.15817,0.05591,240,35
253,0.16198,0.06478,168,42
254,0.14836,0.06379,200,45
255,0.1747,0.05956,238,35
256,0.14647,0.06205,215,42
257,0.15054,0.05958,220,37
258,0.17511,0.05984,232,37
259,0.1407,0.0584,177,37
260,0.14186,0.07066,172,60
261,0.16559,0.05628,206,33
262,0.14431,0.05255,198,23
263,0.15925,0.0676,193,57
264,0.1588,0.06201,273,57
265,0.14586,0.06024,202,37
266,0.17118,0.0639,224,50
267,0.14966,0.06436,228,36
268,0.16814,0.05892,217,38
269,0.14332,0.06314,196,36
270,0.15673,0.05991,261,35
271,0.18046,0.07044,296,50
272,0.16129,0.0694,301,53
273,0.17773,0.06234,271,38
274,0.15224,0.06126,256,45
275,0.15361,0.06766,253,57
276,0.16746,0.06561,205,52
277,0.15214,0.0624,241,42
278,0.17251,0.05252,241,21
279,0.16003,0.066,277,49
280,0.15567,0.06328,266,42
281,0.18035,0.06953,291,69
282,0.16008,0.07201,271,61
283,0.15543,0.05674,254,29
284,0.17639,0.06912,268,59
285,0.16225,0.0714,294,57
286,0.17511,0.06361,264,42
287,0.1738,0.07003,375,55
288,0.15922,0.07463,297,65
289,0.17835,0.07331,278,64
290,0.16042,0.06195,296,33
291,0.19201,0.06742,361,46
292,0.1518,0.07432,239,60
293,0.15286,0.06277,246,42
294,0.17968,0.05879,299,31
295,0.1666,0.07603,319,73
296,0.18979,0.0508,361,19
297,0.16821,0.06632,343,61
298,0.16056,0.05646,297,31
299,0.19519,0.05892,406,39
300,0.17476,0.06879,377,58
301,0.19345,0.05827,379,34
302,0.17634,0.06807,372,61
303,0.17357,0.07554,382,73
304,0.203,0.06266,431,50
305,0.17716,0.07396,396,84
306,0.16547,0.08078,335,96
307,0.20068,0.07108,416,72
308,0.16524,0.06843,337,66
309,0.19687,0.06958,402,64
310,0.18034,0.06683,417,58
311,0.1699,0.08157,357,93
312,0.20277,0.06855,450,51
313,0.1832,0.06445,440,42
314,0.19022,0.06266,359,42
315,0.17816,0.07035,414,60
316,0.19076,0.07128,490,59
317,0.20169,0.07562,447,79
318,0.18751,0.08188,446,91
319,0.21968,0.06999,515,61
320,0.17707,0.07385,406,82
321,0.19156,0.08252,503,111
322,0.2148,0.07159,509,71
323,0.19293,0.07592,497,95
324,0.19355,0.06675,495,55
325,0.19319,0.068,353,49
326,0.1944,0.07203,487,79
327,0.21299,0.07312,487,71
328,0.19316,0.06733,500,59
329,0.19677,0.06559,539,64
330,0.21983,0.07146,552,64
331,0.2251,0.06991,563,55
332,0.22338,0.06794,561,53
333,0.20019,0.08523,525,97
334,0.21967,0.06719,664,58
335,0.22479,0.06577,589,44
336,0.21396,0.06718,635,62
337,0.23651,0.07074,650,50
338,0.22422,0.08745,710,114
339,0.23315,0.0836,773,102
340,0.23842,0.07968,687,93
341,0.21153,0.07203,644,80
342,0.23425,0.0669,650,51
343,0.22931,0.06169,743,43
344,0.23352,0.08267,780,87
345,0.23872,0.06892,681,59
346,0.22999,0.07253,766,69
347,0.25109,0.07946,897,108
348,0.22543,0.07606,602,84
349,0.24092,0.07051,827,65
350,0.2588,0.08294,799,96
351,0.23711,0.07725,800,65
352,0.26033,0.07426,951,84
353,0.27571,0.08452,937,86
354,0.25608,0.07677,943,107
355,0.27758,0.07167,960,69
356,0.24754,0.08833,877,113
357,0.30243,0.07807,1253,86
358,0.27641,0.07123,942,70
359,0.27002,0.09349,1018,162
360,0.31517,0.09043,1190,141
361,0.27169,0.0804,1016,127
362,0.26959,0.07957,993,93
363,0.3329,0.07895,1322,88
364,0.28108,0.08528,1090,127
365,0.31723,0.07918,1214,101
366,0.30438,0.08641,1256,160
367,0.31306,0.07591,1331,85
368,0.35663,0.07356,1507,68
369,0.30187,0.0835,1271,141
370,0.35142,0.07914,1586,107
371,0.36211,0.08848,1508,132
372,0.304,0.07829,1256,109
373,0.36194,0.08715,1524,132
374,0.33262,0.08002,1447,102
375,0.38033,0.08296,1774,134
376,0.34286,0.09227,1383,147
377,0.40005,0.09038,1907,163
378,0.38919,0.08506,1716,133
379,0.50788,0.09056,2624,149
380,0.50588,0.10038,2625,192
381,0.51274,0.08954,2529,132
382,0.45304,0.0808,2269,112
383,0.57427,0.0843,2946,119
384,0.4209,0.08925,2057,120
385,0.57813,0.11522,3095,253
386,0.63284,0.09849,3353,151
387,0.70369,0.09393,3962,172
388,0.654,0.07732,3626,83
389,0.74507,0.12166,3703,335
390,0.77525,0.10828,4435,226
391,0.88581,0.08995,5022,164
392,1.01377,0.10611,6000,262
393,1.71972,0.16317,8280,415
394,1.54711,0.22867,6849,206
395,1.9398,0.24105,8930,312
396,1.76475,0.21849,10464,401
397,2.62751,0.18601,16619,549
398,4.01721,0.12083,25691,217
399,15.0123,0.12956,98765,293
