Iteration,Avg insertion times,Avg search times
244,0.41443,0.24534,
245,0.40419,0.25163,
246,0.42678,0.2364,
247,0.38671,0.26066,
248,0.41526,0.24835,
249,0.41887,0.24563,
250,0.40159,0.24154,
251,0.43677,0.25118,
252,0.38715,0.24525,
253,0.41663,0.24365,
254,0.41979,0.24574,
255,0.43202,0.24183,
256,0.42042,0.25469,
257,0.38725,0.25488,
258,0.42929,0.24893,
259,0.39801,0.25751,
260,0.4256,0.25528,
261,0.41708,0.24678,
262,0.42722,0.25008,
263,0.42721,0.25152,
264,0.39272,0.25706,
265,0.41252,0.26201,
266,0.4033,0.25732,
267,0.42083,0.25839,
268,0.41206,0.24237,
269,0.42135,0.24157,
270,0.38785,0.25468,
271,0.42005,0.26374,
272,0.45575,0.25853,
273,0.40675,0.24139,
274,0.43219,0.24278,
275,0.41548,0.26222,
276,0.42541,0.25487,
277,0.4014,0.25692,
278,0.41245,0.26221,
279,0.43161,0.25199,
280,0.42337,0.25961,
281,0.40313,0.25105,
282,0.39332,0.27159,
283,0.41478,0.25035,
284,0.39744,0.26238,
285,0.40267,0.26229,
286,0.39424,0.25204,
287,0.40867,0.25461,
288,0.41059,0.25121,
289,0.41239,0.25841,
290,0.40274,0.2496,
291,0.43025,0.25143,
292,0.4288,0.2626,
293,0.42263,0.24926,
294,0.43872,0.25289,
295,0.41391,0.2498,
296,0.41357,0.26592,
297,0.38915,0.25224,
298,0.42277,0.24459,
299,0.41237,0.25119,
300,0.41745,0.25283,
301,0.40099,0.25159,
302,0.41875,0.26439,
303,0.43523,0.25434,
304,0.3812,0.24486,
305,0.4122,0.26199,
306,0.40226,0.26609,
307,0.42105,0.26189,
308,0.39649,0.25959,
309,0.42035,0.2492,
310,0.40643,0.26121,
311,0.42053,0.26319,
312,0.39769,0.25528,
313,0.41726,0.26602,
314,0.41362,0.25708,
315,0.43114,0.25581,
316,0.39208,0.25491,
317,0.42919,0.25634,
318,0.41286,0.25801,
319,0.44374,0.25752,
320,0.40234,0.25238,
321,0.43764,0.25795,
322,0.39954,0.25514,
323,0.42626,0.26993,
324,0.40822,0.2591,
325,0.42712,0.25793,
326,0.41318,0.26793,
327,0.40923,0.25855,
328,0.44178,0.26272,
329,0.41095,0.26362,
330,0.43263,0.26757,
331,0.41508,0.2582,
332,0.42215,0.25813,
333,0.39761,0.2671,
334,0.43111,0.25671,
335,0.39467,0.26226,
336,0.40441,0.25159,
337,0.38635,0.24469,
338,0.41239,0.25476,
339,0.40015,0.27124,
340,0.4377,0.26032,
341,0.42673,0.24649,
342,0.42457,0.25487,
343,0.42722,0.25894,
344,0.44188,0.25721,
345,0.37367,0.26003,
346,0.48808,0.26398,
347,0.41072,0.26062,
348,0.444,0.25719,
349,0.39451,0.26567,
350,0.41927,0.25252,
351,0.39855,0.2616,
352,0.41745,0.25641,
353,0.41858,0.26187,
354,0.42051,0.26598,
355,0.41152,0.25436,
356,0.42202,0.26056,
357,0.38893,0.26216,
358,0.43444,0.2641,
359,0.40044,0.25925,
360,0.45097,0.27202,
361,0.39353,0.24981,
362,0.41139,0.26557,
363,0.42762,0.27156,
364,0.42734,0.27595,
365,0.38758,0.25799,
366,0.43539,0.25144,
367,0.39517,0.25837,
