Iteration,Avg insertion times,Avg search times
289,146.96,69.58,
290,144.87,65.98,
291,151.81,70.41,
292,144.91,73.28,
293,147.99,60.91,
294,149.56,61.42,
295,150.84,66.06,
296,147.33,69.92,
297,149.87,60.95,
298,148.33,60.11,
299,152.14,68.87,
300,155.5,65.53,
301,151.83,63.95,
302,159.6,67.67,
303,157.5,67.87,
304,150.92,66.26,
305,152.92,69.95,
306,155.93,70.99,
307,158.65,68.34,
308,166.38,75.55,
309,159.94,69.67,
310,157.03,70.86,
311,156.97,79.06,
312,156.33,74.23,
313,157.59,75.12,
314,158.38,71.25,
315,156.43,67.36,
316,164.99,66.95,
317,161.81,67.05,
318,159.5,70.37,
319,167.15,69.38,
320,159.35,69.5,
321,160.05,73.14,
322,161.37,66.98,
323,161.83,88.13,
324,159.52,78.11,
325,161.68,60.88,
326,166.26,72.3,
327,166.66,72.79,
328,164.87,69.47,
329,167.17,77.31,
330,166.18,71.08,
331,169.42,66.76,
332,165.63,67.06,
333,167.94,83.1,
334,167.56,76.29,
335,174.39,72.17,
336,182.74,70.52,
337,174.38,68.42,
338,173.48,82.77,
339,172,82.91,
340,173.4,74.13,
341,172.45,68.37,
342,169.94,63.13,
343,178.54,68.42,
344,174.92,75.66,
345,174.34,74.85,
346,169.95,70.81,
347,167.65,66.93,
348,165.72,66.97,
349,167.23,63.6,
350,150.01,78.1,
351,178.31,70.59,
352,163.34,59.21,
353,174.34,78.07,
354,154.21,65.02,
355,159.01,62.13,
356,151.62,64.1,
357,148.18,83.3,
358,162.52,64.19,
359,148.16,67.1,
360,173.79,80.87,
361,182.78,74.21,
362,189.51,87.13,
363,182.61,85.67,
364,187.67,86.01,
365,180.58,79.39,
366,191.4,76.96,
367,178.08,68.55,
368,180.68,78.39,
369,180.15,87.82,
370,182.22,68.81,
371,190.06,78.46,
372,176.62,74.99,
373,182.58,82.45,
374,174.76,76.7,
375,187.71,80.01,
376,189.99,91.4,
377,185.66,75.65,
378,190.81,78.28,
379,192.17,82.62,
380,196.84,91.09,
381,184.12,79.38,
382,194.01,86.29,
383,183.05,407.01,
384,274.7,69.22,
385,164.28,83.25,
386,203.98,81.63,
387,185.55,67.83,
388,176.12,75.14,
389,168.55,84.95,
390,180.18,75.97,
391,196.88,78.06,
392,191.75,77.2,
393,169.31,76.47,
394,178.96,85.42,
395,188.08,78.73,
396,189.5,90.43,
397,179.2,85.61,
398,182.24,80.98,
399,188.25,78.99,
