Iteration,Avg insertion times,Avg search times
289,0.42,0.31,
290,0.43,0.31,
291,0.41,0.31,
292,0.42,0.31,
293,0.41,0.31,
294,0.41,0.31,
295,0.41,0.31,
296,0.4,0.31,
297,0.43,0.31,
298,0.4,0.32,
299,0.41,0.31,
300,0.41,0.31,
301,0.41,0.31,
302,0.4,0.31,
303,0.41,0.31,
304,0.45,0.32,
305,0.38,0.31,
306,0.4,0.31,
307,0.43,0.31,
308,0.4,0.31,
309,0.41,0.31,
310,0.41,0.31,
311,0.4,0.31,
312,0.41,0.32,
313,0.41,0.32,
314,0.42,0.31,
315,0.43,0.31,
316,0.41,0.31,
317,0.41,0.31,
318,0.42,0.31,
319,0.47,0.31,
320,0.43,0.31,
321,0.4,0.31,
322,0.4,0.32,
323,0.41,0.31,
324,0.41,0.32,
325,0.41,0.31,
326,0.41,0.31,
327,0.5,0.32,
328,0.42,0.32,
329,0.41,0.32,
330,0.4,0.31,
331,0.41,0.32,
332,0.41,0.31,
333,0.41,0.31,
334,0.41,0.32,
335,0.42,0.32,
336,0.43,0.32,
337,0.41,0.32,
338,0.42,0.31,
339,0.42,0.32,
340,0.4,0.32,
341,0.44,0.32,
342,0.41,0.32,
343,0.42,0.32,
344,0.44,0.32,
345,0.42,0.32,
346,0.41,0.31,
347,0.4,0.32,
348,0.41,0.31,
349,0.42,0.31,
350,0.41,0.31,
351,0.41,0.31,
352,0.43,0.31,
353,0.41,0.32,
354,0.4,0.31,
355,0.41,0.32,
356,0.42,0.35,
357,0.47,0.33,
358,0.42,0.32,
359,0.41,0.32,
360,0.41,0.32,
361,0.41,0.32,
362,0.43,0.31,
363,0.55,0.34,
364,0.41,0.32,
365,0.4,0.33,
366,0.42,0.32,
367,0.41,0.32,
368,0.41,0.32,
369,0.44,0.33,
370,0.41,0.33,
371,0.4,0.31,
372,0.4,0.33,
373,0.41,0.32,
374,0.41,0.33,
375,0.43,0.32,
376,0.49,0.32,
377,0.41,0.33,
378,0.4,0.33,
379,0.4,0.32,
380,0.41,0.33,
381,0.4,0.32,
382,0.43,0.33,
383,0.43,0.32,
384,0.4,0.32,
385,0.41,0.33,
386,0.4,0.32,
387,0.43,0.32,
388,0.41,0.33,
389,0.41,0.32,
390,0.41,0.32,
391,0.41,0.33,
392,0.43,0.33,
393,0.41,0.33,
394,0.42,0.32,
395,0.39,0.33,
396,0.42,0.32,
397,0.41,0.33,
398,0.43,0.34,
399,0.38,0.32,
