Iteration,Avg insertion times,Avg search times,insertion_collisions,search_collisions
198,0.5259,0.03864,9,1
199,0.14557,0.03336,16,1
200,0.0928,0.03245,7,0
201,0.09153,0.03279,10,2
202,0.1123,0.03308,7,3
203,0.08647,0.03254,11,3
204,0.11247,0.03525,16,6
205,0.09521,0.03154,13,1
206,0.09578,0.0316,10,2
207,0.11411,0.03296,14,2
208,0.09321,0.03192,17,2
209,0.11623,0.03197,16,2
210,0.09241,0.03234,22,5
211,0.09218,0.03293,16,6
212,0.10799,0.03451,11,11
213,0.0903,0.03226,12,5
214,0.09677,0.03163,24,3
215,0.10793,0.03361,16,8
216,0.09282,0.03171,15,3
217,0.11236,0.03154,20,2
218,0.09328,0.03404,23,7
219,0.09494,0.03274,23,4
220,0.11022,0.03166,12,2
221,0.09206,0.03205,20,4
222,0.11227,0.03206,15,2
223,0.09169,0.03429,21,11
224,0.09124,0.03168,12,5
225,0.11118,0.03194,14,4
226,0.09042,0.03263,17,4
227,0.11084,0.03468,21,12
228,0.09394,0.03301,25,7
229,0.09229,0.03319,26,7
230,0.11824,0.03419,37,8
231,0.09592,0.03208,29,4
232,0.09259,0.03351,19,5
233,0.11266,0.03235,17,3
234,0.09652,0.03365,29,6
235,0.11881,0.03674,28,16
236,0.09659,0.03432,25,8
237,0.09139,0.03362,17,7
238,0.11199,0.03517,20,9
239,0.09711,0.03378,36,8
240,0.11398,0.03333,19,5
241,0.09353,0.03556,25,9
242,0.09321,0.03398,20,10
243,0.11262,0.03525,19,12
244,0.09492,0.03277,33,5
245,0.16625,0.03399,29,5
246,0.09517,0.03594,17,12
247,0.09547,0.03386,19,7
248,0.11361,0.03449,21,10
249,0.09558,0.03576,23,14
250,0.11085,0.03577,13,7
251,0.09711,0.0356,16,11
252,0.09707,0.03755,24,19
253,0.11485,0.03384,19,7
254,0.09364,0.03725,16,11
255,0.09609,0.03658,25,18
256,0.11399,0.03568,17,13
257,0.09643,0.03826,23,22
258,0.11468,0.03542,23,10
259,0.09498,0.03675,18,12
260,0.0944,0.03793,22,17
261,0.11001,0.03428,22,8
262,0.09661,0.03684,32,12
263,0.11157,0.03653,18,13
264,0.0974,0.0351,27,12
265,0.0955,0.03848,20,21
266,0.11344,0.03785,21,16
267,0.09963,0.03796,29,17
268,0.11394,0.03377,22,7
269,0.09437,0.03639,28,12
270,0.09686,0.03848,32,20
271,0.11415,0.03608,30,13
272,0.0973,0.03837,34,17
273,0.1126,0.03501,22,9
274,0.09355,0.03758,13,15
275,0.09312,0.0359,20,12
276,0.11537,0.03768,21,17
277,0.09456,0.03316,17,5
278,0.09459,0.03746,17,16
279,0.11316,0.03601,19,12
280,0.09487,0.03679,18,11
281,0.11125,0.0372,23,16
282,0.10002,0.03864,39,22
283,0.09607,0.03453,20,7
284,0.11221,0.03799,21,15
285,0.09837,0.03874,28,20
286,0.11286,0.03737,22,17
287,0.09599,0.0396,27,17
288,0.09429,0.04176,20,21
289,0.11399,0.0407,23,22
290,0.09461,0.03914,20,16
291,0.11239,0.04317,22,22
292,0.09488,0.04282,22,22
293,0.0973,0.03773,29,13
294,0.11647,0.03643,23,15
295,0.095,0.03627,24,11
296,0.10041,0.03553,35,11
297,0.11159,0.03804,17,21
298,0.09486,0.03502,26,8
299,0.11656,0.03668,20,14
300,0.09465,0.03915,19,18
301,0.09575,0.03726,20,12
302,0.11378,0.03808,20,16
303,0.09583,0.03965,18,22
304,0.11287,0.03578,12,12
305,0.09751,0.0391,33,21
306,0.0962,0.03825,22,19
307,0.11464,0.04031,24,20
308,0.09483,0.04193,19,25
309,0.11321,0.03594,23,12
310,0.09622,0.03875,28,20
311,0.09476,0.03801,24,18
312,0.11724,0.0405,28,22
313,0.09634,0.03998,26,22
314,0.11179,0.03999,14,21
315,0.09399,0.03924,20,21
316,0.09457,0.03928,16,21
317,0.11727,0.03724,23,13
318,0.09342,0.03875,20,15
319,0.09496,0.03948,22,18
320,0.11601,0.03835,21,17
321,0.0964,0.03828,21,14
322,0.1139,0.03628,26,12
323,0.0992,0.04273,28,26
324,0.09733,0.03919,17,21
325,0.11182,0.03725,23,14
326,0.09562,0.03944,23,20
327,0.11352,0.04242,18,23
328,0.09891,0.03702,31,12
329,0.09596,0.04048,28,21
330,0.114,0.03791,14,17
331,0.0954,0.03952,27,18
332,0.11796,0.04121,28,21
333,0.09488,0.03936,19,17
334,0.09488,0.03903,30,18
335,0.11473,0.04243,21,26
336,0.09382,0.03796,22,14
337,0.11888,0.04009,25,20
338,0.09574,0.03822,25,20
339,0.09435,0.18644,22,21
340,0.79324,0.05002,30,14
341,0.10847,0.04166,34,15
342,0.09376,0.03872,16,14
343,0.119,0.04053,17,17
344,0.11517,0.0388,18,15
345,0.11677,0.04263,20,25
346,0.09439,0.04235,16,24
347,0.09597,0.03829,19,12
348,0.11683,0.04177,28,22
349,0.09206,0.03765,21,13
350,0.11573,0.04258,27,24
351,0.09289,0.0441,12,31
352,0.09436,0.04257,22,25
353,0.11973,0.04372,33,27
354,0.09467,0.03928,23,20
355,0.11881,0.04526,25,34
356,0.09582,0.0404,18,22
357,0.09686,0.04106,21,21
358,0.16413,0.0405,24,18
359,0.0965,0.04328,26,26
360,0.0961,0.04014,26,20
361,0.11245,0.03936,23,16
362,0.09533,0.04085,26,23
363,0.11429,0.03889,27,15
364,0.09447,0.04337,19,25
365,0.09525,0.03838,26,16
366,0.11355,0.04181,20,24
367,0.09443,0.0364,22,8
368,0.11306,0.04255,17,27
369,0.09646,0.04279,22,31
370,0.09853,0.03638,30,11
371,0.11474,0.04024,27,21
372,0.09712,0.0412,26,22
373,0.114,0.04176,24,21
374,0.09633,0.0448,27,31
375,0.09593,0.04067,26,20
376,0.11505,0.04888,19,40
377,0.0961,0.04001,23,20
378,0.11601,0.04094,35,20
379,0.09605,0.03997,24,19
380,0.09863,0.04266,32,24
381,0.11724,0.04172,29,22
382,0.09849,0.04451,32,28
383,0.09845,0.04659,36,36
384,0.11512,0.04114,30,19
385,0.09824,0.04145,34,24
386,0.11786,0.04151,31,20
387,0.1,0.04349,41,27
388,0.09585,0.04422,19,30
389,0.11603,0.04072,31,20
390,0.0998,0.0444,40,32
391,0.11711,0.04238,41,23
392,0.09922,0.04587,25,31
393,0.10004,0.04517,34,33
394,0.11918,0.04556,36,32
395,0.10422,0.04038,42,22
396,0.11864,0.04087,40,20
397,0.10092,0.0419,39,20
398,0.09868,0.04457,34,38
399,0.11741,0.04241,37,26
