Iteration,Avg insertion times,Avg search times,insert_collisions,search_collisions
198,0.1116,0.04636,153,34
199,0.12544,0.04467,134,30
200,0.10759,0.04685,130,36
201,0.10703,0.0381,153,15
202,0.12638,0.04029,145,19
203,0.11432,0.04174,187,21
204,0.12882,0.03923,130,15
205,0.10931,0.04251,139,27
206,0.11727,0.04643,200,30
207,0.13384,0.04185,183,20
208,0.11583,0.04271,210,23
209,0.13804,0.04674,226,34
210,0.10676,0.04566,130,36
211,0.11168,0.04502,154,33
212,0.12799,0.05311,156,54
213,0.11209,0.04347,181,28
214,0.134,0.0507,193,51
215,0.11038,0.04753,152,33
216,0.12198,0.04452,249,29
217,0.13562,0.04004,220,19
218,0.11698,0.0415,209,22
219,0.11603,0.04197,221,22
220,0.13482,0.04648,183,37
221,0.11256,0.04652,183,33
222,0.13683,0.05078,204,51
223,0.11289,0.04728,175,31
224,0.11679,0.03972,204,17
225,0.1292,0.04898,174,42
226,0.11427,0.04585,178,32
227,0.13544,0.04942,236,39
228,0.12022,0.04442,233,28
229,0.12349,0.04479,277,34
230,0.14115,0.05243,250,55
231,0.12098,0.05292,271,59
232,0.14758,0.04387,323,24
233,0.12465,0.0488,299,44
234,0.11755,0.04743,224,41
235,0.13256,0.05109,191,54
236,0.11958,0.05203,236,54
237,0.14084,0.04346,257,29
238,0.12047,0.0479,251,38
239,0.124,0.04313,288,28
240,0.14299,0.04078,269,23
241,0.11775,0.04586,238,39
242,0.13603,0.0519,399,56
243,0.14083,0.04967,302,40
244,0.12287,0.04608,264,36
245,0.13777,0.05392,246,50
246,0.12483,0.04954,307,52
247,0.12139,0.04715,271,42
248,0.15046,0.05242,353,53
249,0.1276,0.04997,307,53
250,0.14559,0.05238,304,48
251,0.12461,0.0504,289,41
252,0.13612,0.05164,398,69
253,0.1408,0.05621,256,60
254,0.12327,0.04931,271,47
255,0.14731,0.04776,319,35
256,0.12243,0.04762,272,35
257,0.13054,0.0593,340,81
258,0.16248,0.05176,454,47
259,0.11495,0.05612,202,60
260,0.13158,0.06585,349,112
261,0.15219,0.04964,364,36
262,0.11916,0.04767,250,49
263,0.14683,0.05703,332,82
264,0.13301,0.05271,369,69
265,0.12642,0.05126,316,50
266,0.14201,0.05236,292,56
267,0.13406,0.05288,380,44
268,0.152,0.0445,374,29
269,0.13448,0.0558,393,79
270,0.14408,0.05208,491,46
271,0.16658,0.05439,498,60
272,0.15017,0.06246,535,81
273,0.15221,0.0564,399,69
274,0.1381,0.05113,425,45
275,0.13636,0.05769,413,72
276,0.16368,0.05841,451,65
277,0.13808,0.06399,417,95
278,0.16717,0.0457,506,38
279,0.14285,0.0588,477,73
280,0.14366,0.05899,477,71
281,0.16641,0.06409,502,93
282,0.14007,0.06056,447,74
283,0.13849,0.04892,425,50
284,0.17132,0.06485,550,139
285,0.1554,0.06504,576,83
286,0.16969,0.05331,516,59
287,0.15069,0.06395,543,115
288,0.15636,0.06592,587,99
289,0.17601,0.06234,589,102
290,0.15552,0.06637,555,121
291,0.17926,0.06302,593,97
292,0.14904,0.05998,530,90
293,0.14444,0.05926,492,94
294,0.18436,0.04823,663,53
295,0.17515,0.07186,778,161
296,0.19957,0.04922,811,51
297,0.18424,0.05678,845,75
298,0.16431,0.04948,662,41
299,0.18422,0.05233,706,57
300,0.17372,0.06234,759,100
301,0.18483,0.04962,688,52
302,0.17806,0.05962,784,80
303,0.19279,0.06199,918,105
304,0.19791,0.06474,805,110
305,0.21009,0.05911,1091,124
306,0.1804,0.07243,797,162
307,0.19811,0.0688,799,161
308,0.1719,0.06252,744,125
309,0.19053,0.06252,737,86
310,0.18333,0.05311,844,61
311,0.19642,0.06916,950,137
312,0.20435,0.06571,852,120
313,0.17946,0.05547,817,66
314,0.19623,0.05926,778,84
315,0.22771,0.06117,1270,92
316,0.19092,0.06838,915,140
317,0.21027,0.06262,927,105
318,0.21408,0.06721,1131,96
319,0.20923,0.06472,903,148
320,0.22911,0.06041,1268,107
321,0.19861,0.07246,1009,168
322,0.24757,0.06427,1256,145
323,0.20379,0.05771,1034,90
324,0.24319,0.05946,1404,85
325,0.25171,0.05366,1308,53
326,0.21884,0.06121,1190,88
327,0.25708,0.06135,1333,72
328,0.21547,0.06023,1146,104
329,0.22037,0.06072,1204,92
330,0.30318,0.06762,1788,128
331,0.28399,0.06321,1586,113
332,0.33389,0.05995,2045,79
333,0.3064,0.0809,2019,207
334,0.27905,0.07999,1750,285
335,0.31775,0.05315,1901,58
336,0.31593,0.06991,2087,176
337,0.32984,0.06992,2041,175
338,0.34811,0.08888,2408,328
339,0.32036,0.07298,2128,135
340,0.35984,0.0721,2282,131
341,0.33682,0.06917,2286,163
342,0.32802,0.06138,1999,144
343,0.3005,0.05966,1914,57
344,0.43933,0.07311,3250,151
345,0.38177,0.08068,2513,281
346,0.47279,0.07004,3525,176
347,0.38365,0.0839,2717,291
348,0.34845,0.095,2221,420
349,0.41792,0.07602,3063,187
350,0.38822,0.08527,2567,269
351,0.45872,0.07119,3452,161
352,0.49617,0.08633,3761,348
353,0.51935,0.07394,3811,169
354,0.69594,0.07482,5646,188
355,0.57106,0.06368,4249,89
356,0.59289,0.07095,4613,110
357,0.53554,0.05985,4122,89
358,0.70224,0.05035,5503,67
359,0.54458,0.10215,4176,395
360,0.97664,0.12803,8012,669
361,0.62322,0.10421,4935,494
362,0.85444,0.09158,7083,333
363,0.78675,0.07628,6309,183
364,0.77471,0.0827,6246,266
365,1.19189,0.06597,10006,123
366,1.00644,0.09159,8457,363
367,0.91958,0.06992,7763,145
368,1.56761,0.09491,13555,355
369,0.98815,0.09256,8427,391
370,1.42926,0.09655,12233,474
371,1.44076,0.10811,11915,492
372,1.0645,0.08098,8954,284
373,1.48062,0.08398,12606,254
374,1.22145,0.09282,10564,336
375,1.68589,0.07451,14836,215
376,1.89577,0.09935,16395,353
377,1.78882,0.10305,15803,459
378,2.41922,0.08809,21544,314
379,2.38932,0.12243,21318,580
380,2.44439,0.13493,21587,711
381,2.75292,0.10193,24474,468
382,3.24112,0.09226,29268,363
383,4.31381,0.08603,38864,276
384,3.29154,0.0951,29656,356
385,3.61962,0.13602,32969,704
386,3.98273,0.10216,35776,351
387,5.11286,0.14248,47013,820
388,4.30042,0.11596,38999,572
389,6.40765,0.29206,58574,2222
390,6.31309,0.1649,57956,1009
391,7.32564,0.08634,64917,325
392,7.98492,0.17716,72408,1188
393,12.2956,0.47366,110829,3774
394,25.7378,0.19583,233067,1210
395,27.9768,0.52551,256110,4511
396,48.0175,0.96093,438452,8720
397,57.5454,0.16571,526956,1035
398,83.9326,0.43331,774564,3562
399,166.686,0.38363,1552345,3090
