Iteration,Avg insertion times,Avg search times
245,7.28971,1.8827,
246,6.59694,1.9174,
247,7.26675,1.96097,
248,7.51079,2.4357,
249,7.98783,2.01131,
250,8.96593,2.86758,
251,8.71354,3.50844,
252,8.08656,2.83474,
253,6.97103,2.05366,
254,7.62884,2.20577,
255,7.22548,5.32276,
256,7.5361,1.9835,
257,6.9638,2.80039,
258,6.63474,1.82319,
259,6.06442,1.85685,
260,6.09443,1.80936,
261,6.4442,1.83701,
262,6.39055,1.90102,
263,6.58593,1.79553,
264,8.27456,1.92616,
265,7.29831,1.89664,
266,6.62865,1.96396,
267,6.93265,1.78683,
268,6.79694,1.7863,
269,6.74389,1.77129,
270,6.95588,1.87776,
271,6.41377,1.67961,
272,6.35941,2.00109,
273,6.61158,1.60119,
274,7.17933,1.75369,
275,6.56997,1.94972,
276,7.11957,2.24711,
277,14.2912,4.31056,
278,8.7995,2.9526,
279,6.86721,2.14384,
280,7.82957,2.04277,
281,7.10542,2.06915,
282,7.06098,2.11082,
283,7.07141,1.76909,
284,6.73808,2.1804,
285,7.00963,2.23891,
286,7.39179,1.99929,
287,7.23082,2.00879,
288,8.17396,2.17264,
289,8.02893,2.36366,
290,7.44315,1.796,
291,7.41715,2.1333,
292,7.40336,3.12248,
293,7.41101,1.83398,
294,7.42314,1.83282,
295,7.21274,1.93559,
296,7.17963,2.0061,
297,7.68148,1.84477,
298,7.67595,1.67522,
299,8.24019,1.96317,
300,9.68146,2.12697,
301,8.30606,2.28793,
302,7.40563,2.0323,
303,7.97485,2.08712,
304,7.85992,2.02751,
305,7.54641,2.2073,
306,7.68369,2.21878,
307,8.07298,2.07491,
308,7.59057,2.75691,
309,8.51818,1.95583,
310,8.45105,2.32687,
311,8.54198,3.11354,
312,9.16589,2.35316,
313,7.71526,2.18391,
314,8.49657,2.08591,
315,8.34086,1.94526,
316,8.07368,1.9779,
317,8.60874,2.01362,
318,8.70853,1.98994,
319,8.18664,2.08484,
320,8.25037,2.11879,
321,8.70897,2.27363,
322,8.41715,2.86312,
323,9.51849,2.32564,
324,8.6068,2.03727,
325,8.56035,1.86068,
326,8.55555,2.2885,
327,8.47266,2.07424,
328,8.71276,1.98259,
329,8.85806,2.26196,
330,8.79852,2.16831,
331,8.8022,1.96696,
332,8.92297,2.23845,
333,10.3481,3.0171,
334,8.93648,2.37358,
335,8.94281,2.18008,
336,8.71601,2.27918,
337,8.82994,2.1878,
338,8.62003,2.55811,
339,10.4659,3.11368,
340,9.81536,2.57553,
341,8.91843,2.44374,
342,8.79881,2.20598,
343,10.9789,2.6002,
344,9.6362,2.48199,
345,9.27847,2.3122,
346,9.41696,2.57756,
347,8.86692,2.37308,
348,8.9726,3.23884,
349,10.6328,2.80766,
350,9.11166,2.54546,
351,9.61407,2.69029,
352,9.66422,2.77464,
353,13.0418,3.05821,
354,10.5618,2.6583,
355,9.75885,2.52748,
356,9.35195,2.63383,
357,9.48948,2.44451,
358,10.3326,2.62371,
359,9.41852,2.73911,
360,9.50477,2.60207,
361,9.99909,3.17616,
362,10.6091,2.96267,
363,9.52448,2.73274,
364,9.99983,2.90134,
365,9.3192,2.46708,
366,9.64792,2.68005,
367,9.93887,2.49324,
368,9.89457,2.8602,
369,9.80683,2.87462,
370,10.2229,2.9166,
371,10.8139,2.93984,
372,9.66186,2.57565,
373,10.0303,2.75719,
374,9.71851,2.96317,
375,10.3567,2.42974,
376,10.0824,3.0188,
377,10.0687,2.44984,
378,9.87279,2.87444,
379,10.0575,2.77381,
380,11.2995,2.85264,
381,9.78338,2.71829,
382,10.7227,3.10008,
383,10.3323,2.80524,
384,10.329,2.70962,
385,10.427,2.84929,
386,10.0309,2.82931,
387,10.4474,2.80523,
388,11.1642,3.004,
389,11.3272,3.17174,
390,10.5785,3.05756,
391,10.3976,2.57284,
392,10.3128,2.99961,
393,10.3814,2.86562,
394,10.8384,3.00087,
395,11.1203,3.0199,
396,10.5002,3.54941,
397,11.7338,3.3147,
398,10.8386,3.06725,
399,10.4154,3.22006,
