Iteration,Avg insertion times,Avg search times
290,134.67,62.25,
291,135.22,72.37,
292,135.58,75.17,
293,136.59,62.27,
294,136.38,64.09,
295,137.24,65.57,
296,137.75,68.36,
297,137.74,66.47,
298,138.58,58.15,
299,138.75,67.58,
300,140.04,63.32,
301,140.04,68.26,
302,140.79,67.77,
303,140.91,70.43,
304,142.99,67.75,
305,142.31,73.99,
306,142.18,73.39,
307,142.55,68.86,
308,146.25,76.12,
309,143.92,69.53,
310,145.25,72.34,
311,145.32,76.58,
312,144.83,72.88,
313,146.59,74.02,
314,146.36,70.5,
315,149.29,66.21,
316,148.18,68.33,
317,149.57,70.13,
318,148.08,78.56,
319,150.12,71.12,
320,153.23,75,
321,155.35,78.84,
322,149.29,71.12,
323,150.57,81.16,
324,150.48,72.98,
325,156.81,65.95,
326,161.27,78.99,
327,152.43,74.09,
328,153.89,75.52,
329,152.9,80.92,
330,153.15,76.58,
331,153.44,69.45,
332,156.57,74.48,
333,154.86,88.31,
334,161.87,77.91,
335,155.5,74.46,
336,156.15,75.25,
337,157.95,72.96,
338,167.1,81.6,
339,157.35,85.72,
340,157.92,77.52,
341,158.82,74.37,
342,158.57,70.85,
343,159.8,74.44,
344,163.37,84.91,
345,174.8,81.56,
346,179.6,84.43,
347,169.53,80.38,
348,164.19,79.72,
349,163.55,80.58,
350,163.95,79.26,
351,167.76,87.96,
352,166.45,81.91,
353,165.21,83.62,
354,156.34,75.25,
355,152.04,78.43,
356,166.32,83.37,
357,164.45,81.06,
358,165.72,83.92,
359,166.3,87.27,
360,166.99,82.77,
361,167.69,75.63,
362,152.47,80.95,
363,161.56,77.54,
364,152.77,91.63,
365,156.45,69.48,
366,150.36,79.76,
367,151.06,72.67,
368,170.36,90.01,
369,171.13,108.67,
370,172.37,74.83,
371,172.95,89.23,
372,174.35,96.19,
373,202.79,79.65,
374,168.24,91.91,
375,178.13,79.15,
376,173.91,95.59,
377,161.53,78.85,
378,155.59,86.01,
379,156.61,78.81,
380,174.13,86,
381,166.95,79.42,
382,157.24,92.51,
383,178.12,86.68,
384,178.3,76.73,
385,190.77,87.55,
386,159.89,79.75,
387,197.79,102.72,
388,221.76,85.04,
389,174.15,87.79,
390,170.07,95.94,
391,181.16,83.79,
392,183.33,94.4,
393,182.76,91.23,
394,182.43,95.76,
395,181.93,94.81,
396,201.17,103.07,
397,184.16,94.24,
398,186.43,96.1,
399,186.4,99.95,
